team,elo
Spain,2109.305160746385
Argentina,2055.162145765761
France,2017.5023556620024
England,1944.2365704662495
Portugal,1929.3681181940003
Brazil,1920.3667698734016
Senegal,1915.9982302529484
Colombia,1914.5908330722295
Ecuador,1901.087098872668
Japan,1900.306748213355
Netherlands,1894.4603068233696
Turkey,1879.153414004495
Germany,1874.949092424646
Croatia,1866.3529553314916
Uruguay,1852.5460778140355
Mexico,1845.5067410526817
Norway,1837.7062447657136
Morocco,1829.543687737439
Switzerland,1818.0993681600874
Italy,1818.03210981495
Denmark,1807.9307492369671
Paraguay,1804.4665966346408
Australia,1800.8257887900136
Nigeria,1797.7882927331896
Canada,1791.0719394341431
Belgium,1788.0018070277708
Algeria,1778.880034404461
Iran,1772.877692890455
Austria,1772.0384481016213
Panama,1768.1596151482267
South Korea,1767.2128266954116
Russia,1755.6142229276236
Uzbekistan,1749.1681285594354
Egypt,1746.3538196357028
Ukraine,1745.3092929689249
Scotland,1724.0615123171106
Serbia,1720.590189056118
Venezuela,1719.680588300193
Greece,1715.8688383763076
Ivory Coast,1714.6329472894338
United States,1710.145401615786
Jordan,1705.8603241808491
DR Congo,1694.497517140058
Chile,1687.2168146450574
Kosovo,1686.0776595299328
Yugoslavia,1681.557364980631
Iraq,1680.5182139546353
Czechia,1675.727955715993
Slovenia,1675.5628798495882
Tunisia,1674.8301774795395
Sweden,1674.234311832345
Poland,1673.9437388910844
Cameroon,1672.583104149694
Hungary,1670.3713060536365
Wales,1659.0189129018077
Czechoslovakia,1658.6679027356674
Peru,1658.540778379096
Ireland,1654.1095102448764
Costa Rica,1651.2337175189173
East Germany,1644.4005425086175
Slovakia,1640.0861594338094
Bolivia,1638.9455432793163
Mali,1635.5036499737394
New Zealand,1626.9159966550296
Honduras,1626.0940224586013
Haiti,1624.6143196649903
Jamaica,1619.4432967142066
Saudi Arabia,1617.510762689089
Albania,1616.639481233613
Israel,1607.3310938773739
Cape Verde,1605.764019074872
Georgia,1604.0203760324343
Romania,1602.4976312936396
Burkina Faso,1601.9203640401593
United Arab Emirates,1587.3872089855458
South Africa,1586.1347255671553
Guatemala,1581.2939428445056
Angola,1577.59395548466
North Macedonia,1572.6353861348487
Serbia and Montenegro,1569.0508175196962
Bosnia and Herzegovina,1557.186895869937
Oman,1556.2180197388072
Iceland,1553.3283450785657
Syria,1550.528319371566
Northern Ireland,1548.395661486178
Ghana,1542.159149682498
Comm of Indep States,1534.3860980698391
Suriname,1531.7456921608887
Curaçao,1531.0176183716362
Palestine,1530.4281862219893
Guinea,1528.593843719187
Belarus,1521.2102985015706
United Arab Republic,1517.5464207218652
Zaire,1511.3386586940887
Reunion,1509.9277661048018
Benin,1508.0634446377503
Qatar,1504.2633567314178
Bohemia and Moravia,1504.1630193970368
Gambia,1499.6968530581046
Trinidad and Tobago,1498.1331105005104
Finland,1495.8920369832717
China,1495.7732296465222
Libya,1494.9751254199907
Thailand,1494.087808830448
Northern Cyprus,1494.0340091301023
New Caledonia,1493.6130621463165
Saint Kitts,1490.6846804449847
Macedonia,1488.895722411361
Guyana,1480.4931167830944
French Togoland,1479.8576423844104
Bahrain,1476.8506598486906
Guadeloupe,1476.4362067707743
Bulgaria,1475.340165992956
Falkland Islands,1473.9689829914128
North Korea,1473.8023879156935
Gold Coast,1473.4902823316122
Equatorial Guinea,1473.3233471204323
Uganda,1470.8414573418838
Bohemia,1470.384692811534
Gabon,1467.7672755563785
Vietnam,1465.781478953963
Niger,1465.2571333116339
Mali Federation,1464.1948853579197
Monaco,1463.7500400258311
Congo-Leopoldville,1462.8567108592474
El Salvador,1460.83587284104
Northern Rhodesia,1459.943961746431
French Congo,1458.9247082443362
Ubangi-Shari,1458.7432954272563
Tahiti,1458.1159079701306
Nicaragua,1457.896933219418
Madagascar,1457.8298239798485
Zambia,1457.640254924823
Sint Eustatius,1457.5366385513337
Mozambique,1456.9916260589162
Comoros,1456.7395398939286
Portuguese Guinea,1453.9038466793072
British Honduras,1453.7362638088177
Lebanon,1453.2619285082392
Zimbabwe,1453.1698591179174
Rhodesia,1450.282777420695
British India,1449.1231170460055
Ruanda-Urundi,1447.2041943893432
Cuba,1444.5631365212878
Korea,1444.4540135117882
Dominican Republic,1444.4321565240007
Sudan,1442.919662113885
Kenya,1441.6431742531981
French Dahomey,1441.0260884682052
Belgian Congo,1439.9078145183457
Kurdistan,1439.6218169274782
Saar,1436.0084681814608
Montenegro,1435.5294115012475
Kazakhstan,1434.2505613783885
Malaysia,1431.2486688600525
French Sudan,1429.9423985030014
Sierra Leone,1429.6479575296996
Togo,1427.011882905996
Dahomey,1426.1435953442108
Southern Rhodesia,1425.370370528934
Kuwait,1425.1687003679885
São Tome and Principe,1424.387340979319
Malaya,1424.2765192039953
Namibia,1423.4355990430045
Indonesia,1420.6150768995735
Martinique,1416.636746342743
Chagos Islands,1414.6648137454547
Dutch East Indies,1413.3903774431637
North Vietnam,1412.4867749189004
Luxembourg,1410.3385817845187
Ethiopia,1410.140762045123
Rwanda,1408.7982836046174
Papua New Guinea,1407.0250100770986
Tajikistan,1401.8050978702684
Mauritania,1400.7392864461426
Zanzibar,1400.4729375941629
Nyasaland,1398.2073068070736
Tanganyika,1395.9768555483129
Fiji,1395.2012626806936
Tanzania,1395.0674746905563
Niue,1394.2811645111592
Aden,1393.134961413395
Mayotte,1391.3364156629004
Khmer Republic,1391.2595732908849
Kyrgyzstan,1388.1690272965654
Saint Barthelemy,1384.1778620083228
Faroe Islands,1382.569295519965
French Somaliland,1381.5102117465742
Burma,1381.4519019365034
Burundi,1379.8828257742405
Swaziland,1378.6648010776582
Armenia,1378.2125423139935
Sao Tome and Principe,1373.2206728771682
French Guiana,1372.4890970217923
Vanuatu,1371.816099890607
Upper Volta,1368.0376949132394
Liberia,1366.4745160783705
Tibet,1365.8347745998685
Palau,1361.1090837079705
Puerto Rico,1360.2433468490326
South Yemen,1356.5341726497174
Azerbaijan,1355.6842252255333
Solomon Islands,1353.9183798953081
St Vincent & Grenadines,1351.685434357893
Botswana,1349.294620524287
Estonia,1345.9828591938372
South Vietnam,1345.654420621582
Saint Pierre and Miquelon,1345.4347351423066
Central African Republic,1345.222670697095
Turkmenistan,1343.688413360268
New Hebrides,1343.1530635593654
FS Micronesia,1341.3845572769046
British Guiana,1333.8973183906915
Guinea-Bissau,1330.6383981079894
Sint Maarten,1326.969430925642
Eritrea,1326.1975520775427
Greenland,1322.396071469566
Philippines,1321.6777659425009
Belize,1319.2793918535153
Lesotho,1319.005850250032
Latvia,1314.368709503135
Wallis and Futuna,1312.9354842793066
Cyprus,1312.790366889249
Yemen,1309.3696407075477
Western Samoa,1308.5458457125012
Bermuda,1306.2822931037301
Saint Martin,1303.9530594949672
Congo,1303.4368155480706
Grenada,1302.0085219925854
Singapore,1301.8730776580505
Tuvalu,1301.2626210313147
Kiribati,1296.052081175493
Netherlands Antilles,1293.5043421451433
Lithuania,1288.6774401990663
India,1286.9269732222565
Hong Kong,1285.3233294760473
Moldova,1284.4094337024833
Malawi,1282.0387286001944
North Yemen,1273.335965919186
Ceylon,1273.196151899488
Marshall Islands,1270.3532080672219
Malta,1261.2048131038382
Montserrat,1259.5821002838347
Aruba,1257.0517950404267
Samoa,1248.5976463991922
Eswatini,1246.5303244606307
Saint Kitts and Nevis,1233.763394031279
South Sudan,1230.9515175983963
Saint Lucia,1224.5213262350999
Cook Islands,1222.6867400108554
Afghanistan,1207.1788848754936
Mauritius,1204.2057563221774
São Tomé and Príncipe,1201.1850514609005
Chad,1193.6900203775576
Myanmar,1189.7133531193012
Dominica,1175.8272910449625
Somalia,1167.4352888391072
Barbados,1159.7338796203069
Djibouti,1144.8114444934527
Bonaire,1141.3932147496366
Bangladesh,1139.2173292128803
Antigua and Barbuda,1132.3568305661129
British Virgin Islands,1129.1728444746527
Tonga,1128.7257385540015
Cayman Islands,1126.4122894892498
Nepal,1122.8184340164435
Andorra,1114.3701018035235
Maldives,1114.3272139565877
Turks and Caicos Islands,1113.8018127738355
Eastern Samoa,1103.7685865651565
Guam,1085.7571273805345
Cambodia,1084.723698302398
Taiwan,1081.3398677509604
US Virgin Islands,1076.717597989904
Gibraltar,1067.4757750503372
Sri Lanka,1062.7200851404561
Anguilla,1057.7137759490333
Pakistan,1050.42079382446
Mongolia,1049.24699560286
Northern Mariana Islands,1036.9525904371008
Seychelles,1032.544418500959
Laos,1014.8371011039119
Liechtenstein,1009.5946884562612
East Timor,1001.1071283022976
Bahamas,984.1255727269622
Brunei,984.0606993004866
Bhutan,983.08582244159
Macao,963.9608317210126
San Marino,920.9460418186914
